Gene name (primary),Gene names (all)
ZBTB7A,FBI1/LRF/ZBTB7/ZBTB7A/ZNF857A
NFATC2IP,NFATC2IP/NIP45
FOXC2,FKHL14/FOXC2/MFH1
HMGN5,HMGN5/NSBP1
CETN2,CALT/CEN2/CETN2
ZNF48,ZNF48/ZNF553
SET,SET
MTA2,MTA1L1/MTA2/PID
POLA2,POLA2
SMARCA5,SMARCA5/SNF2H/WCRF135
TDP1,TDP1
RPS4X,CCG2/RPS4/RPS4X/SCAR
HNRNPA3,HNRNPA3/HNRPA3
PHF14,KIAA0783/PHF14
ZNF579,ZNF579
NFIA,KIAA1439/NFIA
MUS81,MUS81
CXXC5,CXXC5/HSPC195/TCCCIA00297
RRP7A,CGI-96/RRP7A
RAD17,R24L/RAD17
NTHL1,NTH1/NTHL1/OCTS3
C2orf42,C2orf42
HCFC1,HCF1/HCFC1/HFC1
RPL18A,hCG_36873/RPL18A
XPA,XPA/XPAC
PHF19,PCL3/PHF19
PAK1IP1,PAK1IP1/PIP1/WDR84
CRK,CRK
ZNF697,ZNF697
CHD4,CHD4
SH2D4A,PPP1R38/SH2A/SH2D4A
RECQL5,RECQ5/RECQL5
NELFA,NELFA/P/OKcl.15/WHSC2
AVPI1,AVPI1/NPD013/PP5395
RPL7A,RP11-244N20.10-004/RP11-244N20.10-005/RPL7A/SURF3/SURF-3
KDM1B,AOF1/C6orf193/KDM1B/LSD2
SNRPA,SNRPA
RNASEH2B,DLEU8/RNASEH2B
SREK1IP1,P18SRP/SFRS12IP1/SREK1IP1
ZCRB1,hCG_1818570/ZCRB1
CRIPT,CRIPT/HSPC139
SMC6,SMC6/SMC6L1
RRP1,D21S2056E/NNP1/NOP52/RRP1/RRP1A
UBN1,UBN1
ZNF594,KIAA1871/ZNF594
CBX8,CBX8/PC3/RC1
CSRP1,CSRP/CSRP1/CYRP
GIPC1,C19orf3/GIPC/GIPC1/RGS19IP1
XRN2,XRN2
ZNF276,CENP-Z/ZFP276/ZNF276/ZNF477
ACP1,ACP1/hCG_1784797
IMPDH2,IMPD2/IMPDH2
C7orf50,C7orf50/FP15621
ALX1,ALX1/CART1
SFPQ,PSF/SFPQ
FIP1L1,FIP1/FIP1L1/RHE
DHX33,DDX33/DHX33/hCG_1985693
ZMYND8,KIAA1125/PRKCBP1/RACK7/ZMYND8
SCNM1,SCNM1
RAVER1,KIAA1978/RAVER1
NOL7,C6orf90/NOL7/NOP27
NOP9,C14orf21/KIAA2021/NOP9
RPL31,RPL31
ZRANB2,ZIS/ZNF265/ZRANB2
FOXJ3,FOXJ3/hCG_21708/KIAA1041
FOSL2,FOSL2/FRA2
WDR74,NSA1/WDR74
UBE2T,HSPC150/PIG50/UBE2T
EME1,EME1/MMS4
GATA6,GATA6
CD3EAP,ASE1/CAST/CD3EAP/PAF49
MGMT,MGMT
SUPT6H,KIAA0162/SPT6H/SUPT6H
SNRPD2,SNRPD1/SNRPD2
LSM14B,C20orf40/FAM61B/LSM14B/RAP55B
USP7,HAUSP/USP7
RPL13A,hCG_1998057/RPL13a/RPL13A
FAM133B,FAM133B/hCG_19545/MGC40405
RCC1,CHC1/RCC1
TGIF1,TGIF/TGIF1
PIP5K1A,PIP5K1A
PYROXD1,PYROXD1
CRTC3,CRTC3/TORC3
BHLHA15,BHLHA15/BHLHB8/MIST1
TDRD3,TDRD3
PDS5A,KIAA0648/PDS5/PDS5A/PIG54
JRKL,JRKL
RPS27A,RPS27A/UBA80/UBCEP1
RUNX1,AML1/CBFA2/RUNX1
H3F3A,/H3.3A/H3.3B/H3F3/H3F3A/H3F3B/PP781
HIST3H3,H3FT/HIST3H3
TXNDC5,TLP46/TXNDC5/UNQ364/PRO700
HIST1H2BL,H2BFC/HIST1H2BL
GMDS,GMDS
WDHD1,AND1/WDHD1
ARPIN,ARPIN/C15orf38
NSUN2,NSUN2/SAKI/TRM4
PDIA6,ERP5/P5/PDIA6/TXNDC7
MYDGF,C19orf10/IL25/MYDGF
PPIA,CYPA/PPIA
PHIP,PHIP/WDR11
RSL1D1,CATX11/CSIG/L12/PBK1/RSL1D1
CGAS,C6orf150/CGAS/MB21D1
UGDH,UGDH
PARP8,PARP8
EEF1A1,EEF1A/EEF1A1/EF1A/LENG7
ATAD2,ATAD2/L16/PRO2000
SSR4,SSR4/TRAPD
TAGLN2,CDABP0035/KIAA0120/TAGLN2
RPL4,hCG_2004318/RPL1/RPL4
GTPBP4,CRFG/GTPBP4/NOG1
CPS1,CPS1
SSB,SSB
TMA7,CCDC72/HSPC016/HSPC330/TMA7
POLE,POLE/POLE1
EXO1,EXO1/EXOI/HEX1
SURF6,SURF6/SURF-6
RBBP6,My038/P2PR/PACT/RBBP6/RBQ1
SLC25A5,ANT2/SLC25A5
RNF168,RNF168
COX4I1,COX4/COX4I1
USP36,KIAA1453/USP36
IFI16,IFI16/IFNGIP1
NELFE,NELFE/RD/RDBP
LDHB,LDHB
RRP12,KIAA0690/RRP12
NSMCE1,HSPC333/HSPC337/NSMCE1
